"Candidate","Party","Votes","State","Const"
"SAWAKE RAMKRUSHNA PUNDLIKRAO","Communist Party of India (Marxist-Leninist) Red Star",3284,"Maharashtra","Maharashtra - Yavatmal-Washim"
"CHAVAN VINOD NARAYAN","Independent",3283,"Maharashtra","Maharashtra - Yavatmal-Washim"
"SHAIKH JABBAR SHAIKH USUF","Independent",3282,"Maharashtra","Maharashtra - Yavatmal-Washim"
"SURESH RAJARAM MUKHMALE","Maharashtra Vikas Aghadi",3281,"Maharashtra","Maharashtra - Yavatmal-Washim"
"RAGHUNATH SHANKARRAO SHELKE","Ambedkarist Republican Party",3280,"Maharashtra","Maharashtra - Yavatmal-Washim"
"PRASHANT PANDHARINATH SURVE","Independent",3279,"Maharashtra","Maharashtra - Yavatmal-Washim"
"KAMBLE UTTAM BHAGAJI","Prabuddha Republican Party",444,"Maharashtra","Maharashtra - Yavatmal-Washim"
"SHYAMKUMAR BAPURAO LOKHANDE","Independent",3278,"Maharashtra","Maharashtra - Yavatmal-Washim"
"MESHRAM DNYANESHWAR TUKARAM","Independent",518,"Maharashtra","Maharashtra - Yavatmal-Washim"
"PATIL UPENDRA BABARAO","Independent",1530,"Maharashtra","Maharashtra - Yavatmal-Washim"
"None of the Above","None of the Above",3293,"Maharashtra","Maharashtra - Yavatmal-Washim"
"RAJEEV SHANKARRAO SATAV","Indian National Congress",3310,"Maharashtra","Maharashtra - Hingoli"
"WANKHEDE SUBHASH BAPURAO","Shivsena",3309,"Maharashtra","Maharashtra - Hingoli"
"JADHAV CHUNNILAL MOHAN","Bahujan Samaj Party",3304,"Maharashtra","Maharashtra - Hingoli"
"D.B.NAIK","Communist Party of India  (Marxist)",3300,"Maharashtra","Maharashtra - Hingoli"
"UTTAMRAO PANDURANG RATHOD","Bahujan Mukti Party",3314,"Maharashtra","Maharashtra - Hingoli"
"RAMRAO HARISING RATHOD","Bharipa Bahujan Mahasangh",3313,"Maharashtra","Maharashtra - Hingoli"
"DHABE UTTAM MAROTI","Independent",2825,"Maharashtra","Maharashtra - Hingoli"
"WANKHEDE SUBHASH NAGORAO","Janata Dal  (United)",3312,"Maharashtra","Maharashtra - Hingoli"
"WANKHEDE SUBHASH","Independent",3113,"Maharashtra","Maharashtra - Hingoli"
"SATAV ATMARAM RAGHOJI","Independent",3311,"Maharashtra","Maharashtra - Hingoli"
"PRINCIPAL DR.VITHAL NAMDEORAO KADAM","Aam Aadmi Party",3308,"Maharashtra","Maharashtra - Hingoli"
"SATAV RAJU SHANKAR","Independent",3307,"Maharashtra","Maharashtra - Hingoli"
"DEVJI GANGARAM ASOLE","Independent",3306,"Maharashtra","Maharashtra - Hingoli"
"SHAIKH NAYEEM SHAIKH LAL","Samajwadi Party",3286,"Maharashtra","Maharashtra - Hingoli"
"BHAROSE ANANT RAMRAO","Independent",3303,"Maharashtra","Maharashtra - Hingoli"
"GHUNNAR PRAKASH VITTHALRAO","Independent",1896,"Maharashtra","Maharashtra - Hingoli"
"DESHMUKH BALASAHEB DESAI","Independent",1553,"Maharashtra","Maharashtra - Hingoli"
"UTTAM RATHOD","Independent",3302,"Maharashtra","Maharashtra - Hingoli"
"NAIKWADE DIGAMBAR GUNAJI","Independent",102,"Maharashtra","Maharashtra - Hingoli"
"DESAI PANDURANG DEVRAO","Janata Dal  (Secular)",960,"Maharashtra","Maharashtra - Hingoli"
"SANTOSH NAMDEORAO SAGNE","Awami Vikas Party",3301,"Maharashtra","Maharashtra - Hingoli"
"SURAJ VISHWANATH KONDARWAD","Independent",3299,"Maharashtra","Maharashtra - Hingoli"
"SURYAWANSHI ASHOK BHAGWANRAO","Independent",3298,"Maharashtra","Maharashtra - Hingoli"
"None of the Above","None of the Above",3305,"Maharashtra","Maharashtra - Hingoli"
"ASHOK SHANKARRAO CHAVAN","Indian National Congress",3333,"Maharashtra","Maharashtra - Nanded"
"D. B. PATIL","Bharatiya Janata Party",3330,"Maharashtra","Maharashtra - Nanded"
"RAJRATNA AMBEDKAR","Bahujan Mukti Party",3325,"Maharashtra","Maharashtra - Nanded"
"DR. HANSRAJ DADARAOJI VAIDYA","Bahujan Samaj Party",3324,"Maharashtra","Maharashtra - Nanded"
"FEROZ KHAN GAZI","Independent",3336,"Maharashtra","Maharashtra - Nanded"
"PANJABRAO SHRIHARI WADJE PATIL","Independent",3335,"Maharashtra","Maharashtra - Nanded"
"BOCHARE SHANKAR MAHADJI","Independent",3334,"Maharashtra","Maharashtra - Nanded"
"MOHD. MAROOF AB. RAUF","Independent",3332,"Maharashtra","Maharashtra - Nanded"
"RAMCHANDRA GYANOBA SAWANT","Bharipa Bahujan Mahasangh",3331,"Maharashtra","Maharashtra - Nanded"
"GRANTHI NARENDRASINGH ANMOLSINGH","Aam Aadmi Party",3329,"Maharashtra","Maharashtra - Nanded"
"RAMCHANDRA GANGARAM  BHARANDE","Independent",3327,"Maharashtra","Maharashtra - Nanded"
"DATTARAM BALAJI SURWANSHI","Independent",3326,"Maharashtra","Maharashtra - Nanded"
"PATHAN ZAFAR ALIKHAN MEHMOOD ALIKHAN","Independent",1676,"Maharashtra","Maharashtra - Nanded"
"GHUNNAR PRAKASH VITHALRAO","Independent",2100,"Maharashtra","Maharashtra - Nanded"
"SHINDE BALAJI VISHWANATHRAO","Samajwadi Party",3323,"Maharashtra","Maharashtra - Nanded"
"SONTAKKE LAXMAN KISHAN","Independent",3322,"Maharashtra","Maharashtra - Nanded"
"ALTAF AHMED IQBAL AHMED","Indian Union Muslim League",3321,"Maharashtra","Maharashtra - Nanded"
"HANMANTE VIJAY CHANDRAO","Independent",3320,"Maharashtra","Maharashtra - Nanded"
"ADV. DHONDOPANT NAGORAO HANUMANTE","Independent",3319,"Maharashtra","Maharashtra - Nanded"
"SAYYED TANVEER SAYYADHAMAJA","Majlis Bachao Tahreek",3318,"Maharashtra","Maharashtra - Nanded"
"ADV. DEELIP PRABHAKARRAO KULKARNI (PHULWALKAR)","Independent",3317,"Maharashtra","Maharashtra - Nanded"
"SHAIKH AFZALUDDIN AZEEMUDDIN","Lok Bharati",3316,"Maharashtra","Maharashtra - Nanded"
"VENUGOPAL SHASTRI TUMULURI S/O RAMKRISHNA","Independent",3315,"Maharashtra","Maharashtra - Nanded"
"None of the Above","None of the Above",3328,"Maharashtra","Maharashtra - Nanded"
"JADHAV SANJAY (BANDU) HARIBHAU","Shivsena",3349,"Maharashtra","Maharashtra - Parbhani"
"BHAMBALE VIJAY MANIKRAO","Nationalist Congress Party",3346,"Maharashtra","Maharashtra - Parbhani"
"GULMIR KHAN","Bahujan Samaj Party",3343,"Maharashtra","Maharashtra - Parbhani"
"COMRADE RAJAN KSHIRSAGAR","Communist Party of India",3338,"Maharashtra","Maharashtra - Parbhani"
"NISAR SUBHAN KHAN PATHAN","Independent",3337,"Maharashtra","Maharashtra - Parbhani"
"MD. ILIYAS MD. AMIR MANIYAR","Bharipa Bahujan Mahasangh",3352,"Maharashtra","Maharashtra - Parbhani"
"COMRED BHISE GANPAT DEVRAO","Independent",3351,"Maharashtra","Maharashtra - Parbhani"
"UDHAV RANGRAO PAWAR (PATIL)","Independent",2385,"Maharashtra","Maharashtra - Parbhani"
"BABAN (ANNA) MULEY","Bahujan Mukti Party",3350,"Maharashtra","Maharashtra - Parbhani"
"ADV. AJAY SITARAM KARANDE PATIL","Samajwadi Party",3348,"Maharashtra","Maharashtra - Parbhani"
"KAJALE PRADIP MAHADEV","Independent",3347,"Maharashtra","Maharashtra - Parbhani"
"SALMA SHRINIWAS KULKARNI","Aam Aadmi Party",3345,"Maharashtra","Maharashtra - Parbhani"
"PRAMOD MAROTI PANDITKAR","Independent",3344,"Maharashtra","Maharashtra - Parbhani"
"RAMRAO DHANSING RATHOD SIR NIRANKARI","Independent",3342,"Maharashtra","Maharashtra - Parbhani"
"SK. SALEEM","Majlis Bachao Tahreek",3341,"Maharashtra","Maharashtra - Parbhani"
"SAYED ABDUL RAHIM","Welfare Party Of India",2366,"Maharashtra","Maharashtra - Parbhani"
"ASHOK BABARAO (AMBHORE) DUDHGAONKAR","Ambedkar National Congress",3340,"Maharashtra","Maharashtra - Parbhani"
"None of the Above","None of the Above",3339,"Maharashtra","Maharashtra - Parbhani"
"DANVE RAOSAHEB DADARAO","Bharatiya Janata Party",3366,"Maharashtra","Maharashtra - Jalna"
"AUTADE VILAS KESHAVRAO","Indian National Congress",3362,"Maharashtra","Maharashtra - Jalna"
"DR. WANKHEDE SHARADCHANDRA GANAPATRAO","Bahujan Samaj Party",3357,"Maharashtra","Maharashtra - Jalna"
"M. JAVED A. WAHAB","Independent",3369,"Maharashtra","Maharashtra - Jalna"
"NADE DNYANESHWAR DAGDUJI","Independent",3368,"Maharashtra","Maharashtra - Jalna"
"BABASAHEB PATIL SHINDE","Independent",3367,"Maharashtra","Maharashtra - Jalna"
"DILIP DATTA MHASKE","Aam Aadmi Party",3365,"Maharashtra","Maharashtra - Jalna"
"VITTHAL SAHEBRAO SHELKE","Ambedkarite Party of India",3364,"Maharashtra","Maharashtra - Jalna"
"KAKARWAL PRATAPSING MAHAJAN","Independent",3363,"Maharashtra","Maharashtra - Jalna"
"AGRAWAL KUNJBIHARI JUGALKISHOR","Samajwadi Party",3361,"Maharashtra","Maharashtra - Jalna"
"RAMBHAU HARIBHAU UGLE","Rashtriya Sant Sandesh Party",3360,"Maharashtra","Maharashtra - Jalna"
"KARANDE GANESH NAVNATHRAO","Independent",3359,"Maharashtra","Maharashtra - Jalna"
"MIRZA AFSAR BEG","Welfare Party Of India",3358,"Maharashtra","Maharashtra - Jalna"
"RATHOD RAMESH LALSING","Bahujan Mukti Party",51,"Maharashtra","Maharashtra - Jalna"
"UNGE RAMBHAU KUNDLIK","Independent",575,"Maharashtra","Maharashtra - Jalna"
"AD. MAHESH VITTHALRAO KHARAT","Independent",3356,"Maharashtra","Maharashtra - Jalna"
"ASHOK VITTHAL SONWANE","Independent",3355,"Maharashtra","Maharashtra - Jalna"
"SANJAY NIVRUTTI HIVRALE","Ambedkar National Congress",574,"Maharashtra","Maharashtra - Jalna"
"SAYYAD HUSAIN AHMAD","Independent",3354,"Maharashtra","Maharashtra - Jalna"
"MOHAMMAD ASAD SHAIKH AHEMAD","Minorities Democratic Party",2349,"Maharashtra","Maharashtra - Jalna"
"RAMBHAU VITTHAL CHINCHORE","Independent",3353,"Maharashtra","Maharashtra - Jalna"
"SAPKAL LILABAI DHARMA","Independent",369,"Maharashtra","Maharashtra - Jalna"
"None of the Above","None of the Above",1432,"Maharashtra","Maharashtra - Jalna"
"CHANDRAKANT BHAURAO KHAIRE","Shivsena",3385,"Maharashtra","Maharashtra - Aurangabad"
"PATIL NITIN SURESH","Indian National Congress",3382,"Maharashtra","Maharashtra - Aurangabad"
"JEVRIKAR INDRAKUMAR DNYANOBA","Bahujan Samaj Party",3383,"Maharashtra","Maharashtra - Aurangabad"
"SUBHASH KALYANRAO LOMTE","Aam Aadmi Party",3371,"Maharashtra","Maharashtra - Aurangabad"
"TRIBHUVAN MADHUKAR PADMAKAR","Independent",3387,"Maharashtra","Maharashtra - Aurangabad"
"DANDGE NANASAHEB DAMODHAR","Independent",3386,"Maharashtra","Maharashtra - Aurangabad"
"ABDUL KHUDUS ABDUL SAMAD SHAIKH","Bahujan Mukti Party",3384,"Maharashtra","Maharashtra - Aurangabad"
"NADEEM RANA","Independent",3381,"Maharashtra","Maharashtra - Aurangabad"
"SAYYAD SHAFIYODDIN VAHIYODDIN","Welfare Party Of India",3380,"Maharashtra","Maharashtra - Aurangabad"
"GAYAKE SADASHIV AMBADAS","Samajwadi Party",3379,"Maharashtra","Maharashtra - Aurangabad"
"PHULARE SURESH ASARAM","Independent",1289,"Maharashtra","Maharashtra - Aurangabad"
"KAILAS CHANDRABHAN THENGDE","Independent",3378,"Maharashtra","Maharashtra - Aurangabad"
"ANKUSH MUNJAJI TUPSAMUNDRE","Independent",3377,"Maharashtra","Maharashtra - Aurangabad"
"BANSODE UDHAV GOVARDHAN","Independent",3376,"Maharashtra","Maharashtra - Aurangabad"
"SHAIK SAYYAD SHAIK MAHMOOD","Independent",2278,"Maharashtra","Maharashtra - Aurangabad"
"AHAMAD AZIZ AHAMAD MATEEN","Independent",3375,"Maharashtra","Maharashtra - Aurangabad"
"JAGDIP VISHWANATH SHINDE","Independent",3374,"Maharashtra","Maharashtra - Aurangabad"
"NANDARKAR VISHAL UDDHAV","Independent",3373,"Maharashtra","Maharashtra - Aurangabad"
"RAJU BABURAO DOLE","Independent",3372,"Maharashtra","Maharashtra - Aurangabad"
"MOHMMAD KISMATWALA KASIM KISMATWALA","Gareeb Aadmi Party",1520,"Maharashtra","Maharashtra - Aurangabad"
"JADHAV PUSHPA SHANTILAL","Ambedkar National Congress",3370,"Maharashtra","Maharashtra - Aurangabad"
"DR. FEROZ KHAN MURTUZA KHAN","Independent",2360,"Maharashtra","Maharashtra - Aurangabad"
"BHANUDAS RAMDAS SARODE","Independent",3391,"Maharashtra","Maharashtra - Aurangabad"
"BANSWAL MANNALAL PREMCHAND","Prabuddha Republican Party",3390,"Maharashtra","Maharashtra - Aurangabad"
"BALASAHEB ASARAM SARATE","Independent",517,"Maharashtra","Maharashtra - Aurangabad"
"JAWAHARLAL LAXMAN BHAGURE","Independent",3389,"Maharashtra","Maharashtra - Aurangabad"
"BALASAHEB VITTHAL AWARE","Independent",1903,"Maharashtra","Maharashtra - Aurangabad"
"None of the Above","None of the Above",3388,"Maharashtra","Maharashtra - Aurangabad"
"CHAVAN HARISHCHANDRA DEORAM","Bharatiya Janata Party",3398,"Maharashtra","Maharashtra - Dindori"
"DR. BHARATI PRAVIN PAWAR","Nationalist Congress Party",3394,"Maharashtra","Maharashtra - Dindori"
"COM. HEMANT MOTIRAM WAGHERE","Communist Party of India  (Marxist)",3399,"Maharashtra","Maharashtra - Dindori"
"MALI SHARAD SAHEBRAO","Bahujan Samaj Party",933,"Maharashtra","Maharashtra - Dindori"
"GAIKWAD ABHIJEET KALYANRAO","Independent",3392,"Maharashtra","Maharashtra - Dindori"
"PRABHAT CHINDHU SONAWANE","Bharipa Bahujan Mahasangh",591,"Maharashtra","Maharashtra - Dindori"
"AJITDADA BHIKA PAWAR","Independent",3397,"Maharashtra","Maharashtra - Dindori"
"PROF. DNYANESHWAR DAMU MALI","Aam Aadmi Party",3396,"Maharashtra","Maharashtra - Dindori"
"KAILAS SAKHARAM MORE","Independent",3395,"Maharashtra","Maharashtra - Dindori"
"BHARAT KISAN MATE","Bahujan Mukti Party",3393,"Maharashtra","Maharashtra - Dindori"
"None of the Above","None of the Above",1454,"Maharashtra","Maharashtra - Dindori"
"GODSE HEMANT TUKARAM","Shivsena",3409,"Maharashtra","Maharashtra - Nashik"
"CHHAGAN BHUJBAL","Nationalist Congress Party",3407,"Maharashtra","Maharashtra - Nashik"
"DR. PRADEEP PAWAR","Maharashtra Navnirman sena",3410,"Maharashtra","Maharashtra - Nashik"
"DINKAR DHARMA PATIL","Bahujan Samaj Party",3406,"Maharashtra","Maharashtra - Nashik"
"ADV. TANAJI SUKDEO JAIBHAVE","Communist Party of India  (Marxist)",3405,"Maharashtra","Maharashtra - Nashik"
"VIJAY BALIRAM PANDHARE","Aam Aadmi Party",3414,"Maharashtra","Maharashtra - Nashik"
"FASALE BABAN NAMDEO","Independent",3408,"Maharashtra","Maharashtra - Nashik"
"SARKATE DEVIDAS PIRAJI","Independent",2181,"Maharashtra","Maharashtra - Nashik"
"VISHNU RAMDAS JADHAV","Independent",3404,"Maharashtra","Maharashtra - Nashik"
"PRAMOD GYANIRAM NATHEKAR","Independent",3403,"Maharashtra","Maharashtra - Nashik"
"MAKSUD ILIYAS KHAN","Independent",3402,"Maharashtra","Maharashtra - Nashik"
"AVHAD MAHESH ZUNJAR","All India Forward Bloc",3401,"Maharashtra","Maharashtra - Nashik"
"PRAKASH GIRDHAR KANOJE","Independent",3400,"Maharashtra","Maharashtra - Nashik"
"PATHAN SAKHAWATKHA YASINKHA","Bahujan Mukti Party",3412,"Maharashtra","Maharashtra - Nashik"
"PATHAN AYUB MADDEKHAN","Indian Union Muslim League",3411,"Maharashtra","Maharashtra - Nashik"
"None of the Above","None of the Above",3413,"Maharashtra","Maharashtra - Nashik"
"ADV. CHINTAMAN NAVASHA WANGA","Bharatiya Janata Party",3421,"Maharashtra","Maharashtra - Palghar"
"BALIRAM SUKUR JADHAV","Bahujan Vikas Aaghadi",3419,"Maharashtra","Maharashtra - Palghar"
"KHARAPADE LADAKYA RUPA","Communist Party of India  (Marxist)",3423,"Maharashtra","Maharashtra - Palghar"
"PANDURANG JETHYA PARDHI","Aam Aadmi Party",3417,"Maharashtra","Maharashtra - Palghar"
"HARIBHAU SOMA VARTHA","Independent",3416,"Maharashtra","Maharashtra - Palghar"
"DILIP ATMARAM DUMADA","Bahujan Mukti Party",3415,"Maharashtra","Maharashtra - Palghar"
"GAVARI SHYAM ANANT","Bahujan Samaj Party",3425,"Maharashtra","Maharashtra - Palghar"
"SACHIN DAMODAR SHINGDA","Independent",3424,"Maharashtra","Maharashtra - Palghar"
"MOHAN BARKU GUHE","Bharipa Bahujan Mahasangh",3422,"Maharashtra","Maharashtra - Palghar"
"KASHINATH LAXMAN KOKERA","Independent",3420,"Maharashtra","Maharashtra - Palghar"
"None of the Above","None of the Above",3418,"Maharashtra","Maharashtra - Palghar"
"KAPIL MORESHWAR PATIL","Bharatiya Janata Party",3435,"Maharashtra","Maharashtra - Bhiwandi"
"PATIL VISHWANATH RAMCHANDRA","Indian National Congress",3432,"Maharashtra","Maharashtra - Bhiwandi"
"SURESH (BALYA MAMA) GOPINATH MHATRE","Maharashtra Navnirman sena",3437,"Maharashtra","Maharashtra - Bhiwandi"
"ANSARI MUMTAZ ABDUL SATAR","Bahujan Samaj Party",3428,"Maharashtra","Maharashtra - Bhiwandi"
"MADHUKAR VITTHAL PATIL","Communist Party of India",3427,"Maharashtra","Maharashtra - Bhiwandi"
"ANSARI JALAL ENGINEER","Aam Aadmi Party",3426,"Maharashtra","Maharashtra - Bhiwandi"
"SURESH KALURAM JADHAV","Independent",862,"Maharashtra","Maharashtra - Bhiwandi"
"HARISHCHANDRA DATTU PATIL","Independent",3434,"Maharashtra","Maharashtra - Bhiwandi"
"YOGESH MOTIRAM KATHORE","Bharipa Bahujan Mahasangh",3433,"Maharashtra","Maharashtra - Bhiwandi"
"ENGINEER NAVID BETAB","Independent",3431,"Maharashtra","Maharashtra - Bhiwandi"
"ANSARI JAHID MUKHTAR","Bahujan Mukti Party",3430,"Maharashtra","Maharashtra - Bhiwandi"
"SHAH ABRAR AHMED NAZEER","Peace Party",3429,"Maharashtra","Maharashtra - Bhiwandi"
"ADV. DR. ANITA BALASAHEB KOLEKAR","Prabuddha Republican Party",2542,"Maharashtra","Maharashtra - Bhiwandi"
"None of the Above","None of the Above",3436,"Maharashtra","Maharashtra - Bhiwandi"
"DR.SHRIKANT EKNATH SHINDE","Shivsena",3447,"Maharashtra","Maharashtra - Kalyan"
"ANAND PRAKASH PARANJPE","Nationalist Congress Party",3441,"Maharashtra","Maharashtra - Kalyan"
"PRAMOD (RAJU) RATAN PATIL","Maharashtra Navnirman sena",3438,"Maharashtra","Maharashtra - Kalyan"
"NARESH ARVIND THAKUR","Aam Aadmi Party",3443,"Maharashtra","Maharashtra - Kalyan"
"KIRATKAR DAYANAND TULSHIRAM","Bahujan Samaj Party",3442,"Maharashtra","Maharashtra - Kalyan"
"ANIL MORE","Bahujan Mukti Party",3446,"Maharashtra","Maharashtra - Kalyan"
"MOHAMMAD HAMEED SAYYED","Samajwadi Party",3445,"Maharashtra","Maharashtra - Kalyan"
"MOHAMMED AHMED MUKHTAR KHAN ALIAS AHMED NETA","Independent",3358,"Maharashtra","Maharashtra - Kalyan"
"SHASHIKANT DADA RASAL","Independent",3444,"Maharashtra","Maharashtra - Kalyan"
"BHOSALE SHAMU RAMU","Bharipa Bahujan Mahasangh",3340,"Maharashtra","Maharashtra - Kalyan"
"TELGOTE PRAKASH SHAMRAO","Independent",3087,"Maharashtra","Maharashtra - Kalyan"
"MOTE CHANDRAKANT RAMBHAJI","Independent",3440,"Maharashtra","Maharashtra - Kalyan"
"ASMITA PUSHKAR PURANIK","Independent",1267,"Maharashtra","Maharashtra - Kalyan"
"SULOCHANA DHARMENDRA SONKAMBLE","Republican Bahujan Sena",3439,"Maharashtra","Maharashtra - Kalyan"
"DILIP PRABHAKAR ALONI (JOSHI)","Independent",2477,"Maharashtra","Maharashtra - Kalyan"
"SHIVA KRISHNAMURTHY IYAR","Independent",3094,"Maharashtra","Maharashtra - Kalyan"
"SUDHAKAR NARAYAN SHINDE","Ambedkarite Party of India",3449,"Maharashtra","Maharashtra - Kalyan"
"BELAMKAR MILIND CHANDRAKANT","Lok Bharati",3448,"Maharashtra","Maharashtra - Kalyan"
"None of the Above","None of the Above",3450,"Maharashtra","Maharashtra - Kalyan"
"VICHARE RAJAN BABURAO","Shivsena",3465,"Maharashtra","Maharashtra - Thane"
"SANJEEV GANESH NAIK","Nationalist Congress Party",3461,"Maharashtra","Maharashtra - Thane"
"ABHIJIT RAMESH PANSE","Maharashtra Navnirman sena",3464,"Maharashtra","Maharashtra - Thane"
"SANJEEV VISHNU SANE","Aam Aadmi Party",3462,"Maharashtra","Maharashtra - Thane"
"KIRTAWADE VIDHYADHAR BHIMRAO","Bahujan Samaj Party",3452,"Maharashtra","Maharashtra - Thane"
"ASHOK SHANKAR JADHAV","Bahujan Mukti Party",1655,"Maharashtra","Maharashtra - Thane"
"SOHANLAL PUROHIT","Independent",3460,"Maharashtra","Maharashtra - Thane"
"GOPINATH SAKHARAM MHASKE","Bharipa Bahujan Mahasangh",3459,"Maharashtra","Maharashtra - Thane"
"NITIN SHANKAR DESHPANDE","Dharmarajya Paksha",3458,"Maharashtra","Maharashtra - Thane"
"NARENDRA PRABHASHANKAR PANDEY","Independent",962,"Maharashtra","Maharashtra - Thane"
"ABHAY SUBRAO KULKARNI","Independent",1612,"Maharashtra","Maharashtra - Thane"
"SHAFIK AHAMAD SADAT KHAN","Independent",3457,"Maharashtra","Maharashtra - Thane"
"RAJU SHRAVAN CHAVAN","Republican Bahujan Sena",3456,"Maharashtra","Maharashtra - Thane"
"NAJAKATALI KABIR ANSARI","Independent",3455,"Maharashtra","Maharashtra - Thane"
"SALMAN AJIMULLAH HASMI","Rashtriya Aam Party",444,"Maharashtra","Maharashtra - Thane"
"QAMRUZZAMAN KUTUBALI MINAI","Peace Party",3453,"Maharashtra","Maharashtra - Thane"
"TRILOKI GHURAHU YADAV","Independent",3451,"Maharashtra","Maharashtra - Thane"
"SANJAY DILIP KUMAR DAS","Independent",2445,"Maharashtra","Maharashtra - Thane"
"RAJENDRA GAJBHIYE","Ambedkarite Party of India",2301,"Maharashtra","Maharashtra - Thane"
"SHRINATH MITHANTHAYA","Hindustan Janta Party",3469,"Maharashtra","Maharashtra - Thane"
"VISHAL DINKAR SALVE","Independent",1855,"Maharashtra","Maharashtra - Thane"
"VINOD DEEPCHAND GANGWAL","Independent",3468,"Maharashtra","Maharashtra - Thane"
"JAIN SURENDRAKUMAR K.","Akhil Bharatiya Jan Sangh",3467,"Maharashtra","Maharashtra - Thane"
"RATHOD BABUSINGH VASRAM","Maharashtra Parivartan Sena (T)",3466,"Maharashtra","Maharashtra - Thane"
"RAMCHANDRA BHAGOJI GAWADE","Independent",1939,"Maharashtra","Maharashtra - Thane"
"BHANUDAS DHOTARE","Independent",3463,"Maharashtra","Maharashtra - Thane"
"None of the Above","None of the Above",3454,"Maharashtra","Maharashtra - Thane"
"GOPAL CHINAYYA SHETTY","Bharatiya Janata Party",3480,"Maharashtra","Maharashtra - Mumbai North"
"SANJAY BRIJKISHORLAL NIRUPAM","Indian National Congress",3471,"Maharashtra","Maharashtra - Mumbai North"
"SATISH PARASMAL JAIN","Aam Aadmi Party",3474,"Maharashtra","Maharashtra - Mumbai North"
"YADAV KAMLESH SHOBHNATH","Samajwadi Party",343,"Maharashtra","Maharashtra - Mumbai North"
"SINGH ASHOK CHANDRAPAL","Bahujan Samaj Party",3478,"Maharashtra","Maharashtra - Mumbai North"
"KAPIL KANTILAL SONI","Independent",2354,"Maharashtra","Maharashtra - Mumbai North"
"ARJUN BALU ARDE","Ambedkarite Party of India",1401,"Maharashtra","Maharashtra - Mumbai North"
"PRASHANT NARSINH KHARATMAL","Independent",2270,"Maharashtra","Maharashtra - Mumbai North"
"GONDANE DIVAKAR LAXMAN","Bharipa Bahujan Mahasangh",3470,"Maharashtra","Maharashtra - Mumbai North"
"NITIN RAVINDRA RAJVARDHAN","Bahujan Mukti Party",2967,"Maharashtra","Maharashtra - Mumbai North"
"SHAIKH FATEH MOHAMMAD","Independent",3481,"Maharashtra","Maharashtra - Mumbai North"
"SAKHARAM PANDURANG DUNGHAV","Maharashtra Parivartan Sena (T)",1943,"Maharashtra","Maharashtra - Mumbai North"
"THORAT SUNIL UTTAMRAO","All India Forward Bloc",1511,"Maharashtra","Maharashtra - Mumbai North"
"HAJI AKHTAR PAPERWALA","Independent",166,"Maharashtra","Maharashtra - Mumbai North"
"ARJUN CHAUDHARY","Independent",3479,"Maharashtra","Maharashtra - Mumbai North"
"MOHAMMAD AKHTAR MEHBOOB SHAIKH","Prabuddha Republican Party",3477,"Maharashtra","Maharashtra - Mumbai North"
"DINESH SHAH","Sardar Vallabhbhai Patel Party",1898,"Maharashtra","Maharashtra - Mumbai North"
"PRABHAKARAN G. TITUS","People's Party of India(secular)",3476,"Maharashtra","Maharashtra - Mumbai North"
"SATYAVIJAY VITHOBA CHAVAN","Independent",3475,"Maharashtra","Maharashtra - Mumbai North"
"MILIND SHANKAR REPE","Independent",3473,"Maharashtra","Maharashtra - Mumbai North"
"SUBODH G. RANJAN","Independent",3472,"Maharashtra","Maharashtra - Mumbai North"
"None of the Above","None of the Above",3482,"Maharashtra","Maharashtra - Mumbai North"
"GAJANAN CHANDRAKANT KIRTIKAR","Shivsena",3487,"Maharashtra","Maharashtra - Mumbai North West"
"KAMAT GURUDAS VASANT","Indian National Congress",3486,"Maharashtra","Maharashtra - Mumbai North West"
"MAHESH WAMAN MANJREKAR","Maharashtra Navnirman sena",3491,"Maharashtra","Maharashtra - Mumbai North West"
"MAYANK RAMESH GANDHI","Aam Aadmi Party",3490,"Maharashtra","Maharashtra - Mumbai North West"
"BHOLE PUSHPA MILIND","Bahujan Samaj Party",3483,"Maharashtra","Maharashtra - Mumbai North West"
"RAKHI SAWANT","Rashtriya Aam Party",3137,"Maharashtra","Maharashtra - Mumbai North West"
"RINA  MAHENDRAKUMAR  ZAVERI","Independent",3374,"Maharashtra","Maharashtra - Mumbai North West"
"SONKAMBLE  GAJANAN  TUKARAM","Independent",3208,"Maharashtra","Maharashtra - Mumbai North West"
"MANGESH MADHUKAR HUMNE","Bahujan Mukti Party",1949,"Maharashtra","Maharashtra - Mumbai North West"
"NITIN H.  KHARE","Independent",3484,"Maharashtra","Maharashtra - Mumbai North West"
"PRAVIN  CHANDRAKANT  KAURPURIYA","Hindustan Swaraj Congress Party",584,"Maharashtra","Maharashtra - Mumbai North West"
"MOHAN  GALVANKAR","The Lok Party of India",3492,"Maharashtra","Maharashtra - Mumbai North West"
"PRATIK  PRABHAKAR  TORASKAR","Independent",3489,"Maharashtra","Maharashtra - Mumbai North West"
"VIJAYANAND  SHANKARRAO  SHINDE","Hindusthan Nirman Dal",3488,"Maharashtra","Maharashtra - Mumbai North West"
"None of the Above","None of the Above",3485,"Maharashtra","Maharashtra - Mumbai North West"
"KIRIT  SOMAIYA","Bharatiya Janata Party",3500,"Maharashtra","Maharashtra - Mumbai North East"
"SANJAY DINA PATIL","Nationalist Congress Party",3496,"Maharashtra","Maharashtra - Mumbai North East"
